check,passed,detail
"shape de X é (n, histórico, features)",True,"(273373, 12, 3)"
X e y não possuem valores ausentes ou infinitos,True,janelas=273373
cada entrada cobre o histórico configurado,True,duração esperada=0 days 00:55:00
alvo ocorre exatamente no horizonte configurado,True,horizonte esperado=0 days 00:30:00
